    //NAME(,AtomicNumber,element,symbol,mass,neutrons,protons,electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,metalGroup,radius,electronegativity,firstIonization,density,meltingPoint,boilingPoint,isotopes,discoverer,Year.of(Year),specificHeat,shells,valence,),,,,,,,,,,,,,,,,,,,,,,
    PU(,94,Plutonium,Pu,244F,150,94,94,7,,artificial,true,false,true,false,false,Actinide,-1F,1.28F,6.0262F,19.8F,913.15F,3501,163,Seaborg et al.,Year.of(1940),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    AM(,95,Americium,Am,243F,148,95,95,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,5.9738F,13.7F,1267.15F,2880,133,Seaborg et al.,Year.of(1944),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    CM(,96,Curium,Cm,247F,151,96,96,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,5.9915F,13.5F,1340.15F,3383,133,Seaborg et al.,Year.of(1944),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    BK(,97,Berkelium,Bk,247F,150,97,97,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.1979F,14.8F,1259.15F,983,83,Seaborg et al.,Year.of(1949),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    CF(,98,Californium,Cf,251F,153,98,98,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.2817F,15.1F,1925.15F,1173,123,Seaborg et al.,Year.of(1950),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    ES(,99,Einsteinium,Es,252F,153,99,99,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.42F,13.5F,1133.15F,-1,123,Ghiorso et al.,Year.of(1952),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    FM(,100,Fermium,Fm,257F,157,100,100,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.5F,-1F,-1F,-1,103,Ghiorso et al.,Year.of(1953),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    MD(,101,Mendelevium,Md,258F,157,101,101,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.58F,-1F,-1F,-1,33,Ghiorso et al.,Year.of(1955),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    NO(,102,Nobelium,No,259F,157,102,102,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.65F,-1F,-1F,-1,73,Ghiorso et al.,Year.of(1958),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    LR(,103,Lawrencium,Lr,262F,159,103,103,7,,artificial,true,false,true,false,false,Actinide,-1F,-1F,-1F,-1F,-1F,-1,203,Ghiorso et al.,Year.of(1961),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
